Mode,Temp,Fan Level,Code,,,
Off,,,2600760065370d0e0d0e0d290d0e0d290d0e0d0e0d0e0d290d290d0e0d0e0e0d0d290d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0d0f0c290e0e0c0f0c0f0d0e0d0e0d0e0d290d0e0d290e280d290c290d290d290d000d05,,,
Heat,25,Auto,2600060164370d0e0d0e0d290d0e0e280d0e0d0e0d0e0d290d290e0d0d0e0d0e0d290d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d290e280e280e280d290d290d290d290d0e0d0e0d290d0e0e0d0d0e0d0e0d0e0d0e0d0e0d0e0d290d290e0d0d0e0d290e0d0e0d0d0e0d290d0e0d0e0d290d0e0d0f0c290d0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0e0d0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0e0d0d290d290d0e0d290e280d0e0d0e0d0e0d000d05,,,
Heat,24,Auto,2600060165360d0e0e0d0d290d0e0d290c0f0d0e0d0e0d290c290d0f0c0f0c0f0c290d290e0d0d0e0d0e0d0e0d0f0d0e0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0e280e0d0d0e0d0e0d0e0d290e280e280d280e290c290e280d2d0a0d0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d290d0e0d0e0e280d0e0d0e0d0e0d0e0d0e0d0e0d290e0d0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0c0f0d0e0d0e0e0d0d0e0d0e0d0e0d0e0e0d0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290e0d0e0d0d290e280d0e0d290c0f0d290d0e0c0f0c000d05,,,
Heat,23,Auto,2600060166350e0d0d0e0d290d0e0d290d0e0d0e0d0e0d290e280d0e0d0e0d0e0d290d290d0e0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d0e0d0f0c0f0c290e0d0d0f0c0f0c0f0c290d290d290d290d290d280e280e280d0e0e0d0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c290d290e0d0d0e0d290e0d0d0e0d0e0d290d290e280d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0e0d0e0d0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d290d290c0f0d290c290d290e0d0d0e0d000d05,,,
Heat,22,Auto,2600060166360d0e0d0e0d290d0f0c290d0e0d0e0d0e0d290d290e0d0d0e0d0e0d290e280d0e0d0e0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0f0c290d0e0d0f0c0f0c0f0d290d290c290d290d290d290d290e280d0e0d0e0d290d0e0d0e0d0e0d0e0d0f0c0e0d0f0c0f0d290c2a0c0f0c0f0d290c0f0d0e0d0e0d0e0d290d290d0e0e0d0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0e0d0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0e0d0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c2a0c0f0c0f0c2a0c2a0c0f0d290c0f0c0f0c2a0c0f0c000d05,,,
Heat,21,Auto,2600060165360d0e0d0e0d290e0d0d290d0e0d0e0d0e0d290e280d0e0d0e0d0e0d290d290c0f0d0e0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290e0d0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0e0e0c290d290d290d290d290c290d290e280d0e0d0e0d290e0d0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d290d0e0d0e0d290d0e0d0e0e0d0d290d0e0d290d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0e0d0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290e0d0d0e0d290d290d0e0d290d290c0f0c290d0e0d000d05,,,
Heat,20,Auto,2600060166360d0e0d0e0d290d0e0d290d0e0d0e0d0e0d290d290c0f0c0f0d0e0e280c290e0e0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0e0d0d0e0d0e0d0e0d290e0d0d0e0d0e0e0e0c290d290d290d290d290c290e280d290d0e0d0e0d290e0d0d0e0d0e0d0e0e0d0d0e0d0e0d0e0d290d290e0d0d0e0d290d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0c0f0d0e0d0e0d0e0e0d0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d290d290d0e0e280d0e0e2e07290d0e0c000d05,,,
Heat,19,Auto,2600060166360e0d0d0e0e280d0e0d290d0e0d0e0d0e0d290d290c0f0c0f0d0e0d290c290d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0e0d0d0e0d0e0d290e0d0d0e0e0d0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d290d290d290d290d290c290e280e280d0e0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d290d0e0d0e0d290d0e0d0e0d0e0d290d290d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0e0d0f0c0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0d0e0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290e0d0d0e0d290d290d0e0d290c290e280e280d0e0d000d05,,,
Heat,18,Auto,2600060165370c0f0c0f0d290c0f0c290d0e0d0e0d0f0c290d290d0e0d0e0d0e0d290d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0c0f0d0e0e280c0f0c0f0c0f0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d290d290d290d280e280d290d290d290c0f0c0f0d290d0e0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d290e280d0e0d0e0d290c0f0c0e0e0e0d0e0d290c0f0d0e0d0e0e0d0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0c0f0d0e0d0e0d0e0e0d0e0d0d0e0d0e0d0e0d0e0d0e0d0e0e0d0d0e0d0e0d0f0c0f0c0f0d0e0d0e0d0e0d0e0d0f0d0d0d290d0e0d0e0d290d290c0f0c290d0f0c0f0c0f0c290e000d05,,,
Heat,17,Auto,2600060165370d0e0d0e0d290c0f0d290c0f0c0f0c0f0d290c290d0e0d0e0d0f0c290e280d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0c0f0d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d290d290d290c290e280d290d290d290d0e0d0e0d290c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d290e280d0e0d0e0d290d0e0c0f0d0e0d290d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0e0d0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290e0d0d0e0d290d290d0e0d290c290d0e0d0f0c290d000d05,,,
Heat,16,Auto,2600060165360d0e0d0e0d290d0e0d290d0e0d0e0d0e0d290e280d0e0d0e0d0e0d290d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c290d0e0d0e0d0f0c0f0c0f0d0e0d0e0d290d0e0c0f0d0e0d0e0d290c290d290d290d290d290d290c290d0e0d0f0c290d0e0d0e0d0f0c0f0c0f0c0f0c0f0d0e0d290c290d0e0d0f0c290d0e0d0e0d0e0d0f0c0f0c0f0c0f0c0f0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0e0d0e0e0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d290d290c0f0c290d0f0d280d0e0d290d000d05,,,
Off from Cool,,,2600760065370d0e0d0e0d290d0e0d290d0e0d0e0d0e0d290d290d0e0d0e0d0e0d290d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0f0c0f0c0f0d290d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d290d290e280d290c2a0c290d000d05,,,
Cool,25,Auto,2600060164360e0e0c0f0c290e0d0d290d0e0d0e0e0d0d290e280d0e0d0e0d0e0d290d290d0e0d0e0d0e0e0d0d0e0d0e0d0e0d0e0d0e0e0d0d0e0d0e0d0f0c2a0c0e0d0f0c0f0d0e0c0f0c0f0c0f0d290c0f0c0f0c0f0d0e0d290c290d290d290d290e280d290c2a0c0e0d0e0d290d0e0e0d0d0e0d0e0d0e0d0f0d0e0c0f0d280d290e0d0d0e0d290e0d0d0e0d0e0d290e0d0d0e0d290d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0e0e0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0e0d0d0e0d0f0c0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0d290e280e280d290c0f0c0f0d0e0d000d05,,,
Cool,24,Auto,2600060165360d0e0d0e0d290d0e0d290d0e0d0e0d0e0d290d290e0d0d0e0e0d0d290d290c0f0c0f0d0e0d0e0d0e0e0d0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d0f0c0f0c290d290d290d290e280c290d290d290d0e0e0d0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d290d0e0d0e0d290e0d0d0e0d0e0e0d0d0e0d0e0d290d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0e0d0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0e0d0d0e0d0e0d0e0d0e0d0e0d0e0e0d0d0e0d290e0d0d0e0d0e0d290d290d290d0e0d290d0e0d0e0d000d05,,,
Cool,23,Auto,2600060165360e0d0d0e0d2a0c0e0d290d0e0d0e0d0e0d290d290c0f0c0f0c0f0d290d280e0d0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0e0e0c290d290e280d290c290e280e280d290d0e0d0e0d290d0e0d0e0d100b0e0d0e0d0e0d0e0d0e0d290d290d0e0d0e0e280d0e0d0e0d0e0d290d290d280e0d0d290e0d0d0e0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0d0e0d290c0f0c0f0d0e0d290d280d290e280e280d0e0d0e0d000d05,,,
Cool,22,Auto,2600060165360d0e0d0e0e280d0e0e280d0e0d0e0d0e0d290d290d0e0c0f0d0e0d290c290e0d0d0e0d0f0c0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d290d0e0d0e0e0d0d0e0d0e0d0e0d0e0d290e0d0d0e0d0e0d0e0d290e280d290d290c290e280e280e280d0e0d0e0d290d0e0d0e0d0f0c0e0d0e0d0e0e0d0d0e0d290d290e0d0d0e0d290d0e0d0e0d0e0d0e0d290e280d0e0d290d0e0c0f0d0e0d0e0d0e0d0e0d0f0e0c0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0e0e0c0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d290d0e0d0e0d0e0d290d290d280d0e0d0f0c290e0d0d000d05,,,
Cool,21,Auto,2600060165370d0e0d0e0d280e0e0c290d0e0d0f0c0f0c290e280e0d0d0e0d0e0e280e280e0d0d0e0d0e0d0e0d0e0d0e0d0e0e0d0d0e0d0f0c0f0c0f0c0f0c290e0e0c0f0c0f0d0e0d0e12090d0e0d290d0e0d0e0d0e0e0d0d290d290d280d290d290e280e280d280e0e0c0f0c290d0e0d0f0c0f0c0f0c0f0c0f0d0e0d0e0d290c290d0f0c0f0d280e0d0d0e0d0f0c290e0d0e280d0e0d290e0d0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c290e0d0d0e0e0e0c290e280d290d290d0e0d290d0e0d000d05,,,
Cool,20,Auto,2600060165360e0d0d0e0d290d0e0d290e0d0d0e0d0e0d290e280e0d0d0e0d0e0d290d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0e0d0d290d0e0d0e0d0e0d0e0e0d0d0f0c0f0d280d0f0c0f0c0f0d0e0d280d290d290e280d290d290d280e280e0d0d0e0d290e0d0d0e0d0e0d0e0d0e0d0f0c0f0d0e0c290e280d0e0d0e0e280e0d0d0e0d0e0d0f0c0e0d290d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d100b0e0d0e0d0e0d0e0d0e0d0e0d0f0c0e0d0f0c0f0c0f0d0e0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d100c0d0d14070f0d0d0e0d0d0f0c0f0c290d0e0d0f0c0f0c290d290d290d0e0d290d290d0e0d000d05,,,
Cool,19,Auto,2600060165370d0e0d0e0d290d0e0d290d0e0d0e0d0e0e280e280d0e0d0e0d0e0d290d290e0d0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0d290c0f0c0f0d0e0d0e0e0d0d0e0d0e0e280d0e0d0e0d0e0d0e0d290e280e280e280e280e280d290d290d0e0d0e0d290d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d290d290d0e0d0e0d290d0e0d0e0d0e0d290e280d0e0d0e0d290d0e0d0e0e0d0d0f0c0f0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0e0d0d0e0d0f0c0f0c0f0c0f0d0e0d0e0d0e0e0d0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0e0d0d0e0d0e0d0e0d0e0e0d0d0e0d290d0e0d0e0d0e0d290d290d290d290d290d290d0e0d000d05,,,
Cool,18,Auto,2600060166360e0d0e0d0d290d0e0d290e0d0d0e0d0f0c290e280d0f0c0f0d0e0c2a0d280d0f0d0e0c0f0c0f0d0e0d0e0d0e0e0d0d0e0d0e0d0e0d0e0e0d0d290d0e0d0e0d0e0d0f0d0e0d0e0c0f0d290d0e0d0e0d0e0d0e0d290e280d290d290d280e280d290e280e0d0d0e0d290e0d0d0f0c0f0c0f0c0f0d0e0d0e0d0e0e280e280d0e0d0e0d290d0e0e0d0d0e0d0e0d290d0e0e0d0d290d0e0d0e0d0e0d0e0e0d0d0f0c0f0d0e0c0f0c0f0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0e0d0d0f0c0f0c0f0c0e0e0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0e0d0f0c0f0c0f0d0e0d0e0d0e0d290d0e0d0e0d0e0e280d290e280d0e0d0e0d0e0d290d000d05,,,